project,category,observed,expected,pearson_residual,chi_square_contribution
commons-net,corrective,5,6.069924,-0.434272,0.188592
jspwiki,perfective,32,34.521483,-0.429152,0.184172
struts,corrective,18,16.278433,0.426695,0.182069
kylin,corrective,40,37.523168,0.404340,0.163491
wss4j,other,18,16.364785,0.404222,0.163395
flume,other,11,9.818871,0.376935,0.142080
santuario-java,other,11,9.818871,0.376935,0.142080
storm,perfective,24,22.617523,0.290694,0.084503
jspwiki,other,30,28.474726,0.285837,0.081703
parquet-mr,other,9,8.182393,0.285828,0.081698
lens,other,10,9.164280,0.276065,0.076212
falcon,other,11,10.146167,0.268054,0.071853
commons-jexl,other,9,9.818871,-0.261327,0.068292
cayenne,perfective,31,29.759899,0.227322,0.051675
archiva,other,27,25.856361,0.224908,0.050584
jspwiki,corrective,25,24.003791,0.203334,0.041345
mahout,perfective,16,16.665543,-0.163030,0.026579
struts,other,20,19.310447,0.156918,0.024623
roller,corrective,13,13.519377,-0.141255,0.019953
mina-sshd,perfective,10,10.316765,-0.098620,0.009726
ranger,other,15,14.728307,0.070795,0.005012
phoenix,other,51,51.385425,-0.053768,0.002891
nifi,corrective,18,18.209773,-0.049158,0.002417
