project,category,observed,expected,pearson_residual
commons-configuration,other,12,13.696013,-0.458281
commons-compress,other,9,10.435057,-0.444244
commons-scxml,corrective,2,2.704303,-0.428284
wss4j,other,18,16.304777,0.419826
eagle,corrective,4,3.245164,0.41902
gora,corrective,4,3.245164,0.41902
wss4j,perfective,22,20.173707,0.40661
commons-net,corrective,5,5.949467,-0.389261
flume,other,11,9.782866,0.389139
santuario-java,other,11,9.782866,0.389139
mina-sshd,corrective,6,7.031188,-0.388887
jspwiki,other,30,28.370312,0.305965
jspwiki,corrective,25,23.527438,0.303589
parquet-mr,other,9,8.152388,0.296862
lens,other,10,9.130675,0.287694
falcon,other,11,10.108962,0.280248
commons-jexl,other,9,9.782866,-0.250296
archiva,other,27,25.761548,0.244002
streams,perfective,7,7.666009,-0.240544
mahout,perfective,16,16.945914,-0.229784
storm,perfective,24,22.998026,0.208935
struts,other,20,19.239637,0.17335
mina-sshd,perfective,10,10.490328,-0.151388
cayenne,perfective,31,30.260561,0.13442
commons-jcs,other,5,5.217529,-0.095232
ranger,other,15,14.674299,0.085024
commons-beanutils,perfective,5,4.84169,0.071947
eagle,perfective,5,4.84169,0.071947
roller,corrective,13,13.251086,-0.068976
nifi,corrective,18,17.848401,0.035884
phoenix,other,51,51.197,-0.027532
